YEAR,AVG,HH,HT,KT,LG,LT,NC,OB,SK,SS,WO
2016,0.2911694510739857,0,0,0,1,0,0,0,0,0,0
2016,0.30584192439862545,0,0,0,1,0,0,0,0,0,0
2016,0.2971098265895954,0,0,0,1,0,0,0,0,0,0
2016,0.29447115384615385,0,0,0,1,0,0,0,0,0,0
2016,0.29940828402366865,0,0,0,1,0,0,0,0,0,0
2016,0.2954808806488992,0,0,0,1,0,0,0,0,0,0
2016,0.302540415704388,0,0,0,1,0,0,0,0,0,0
2016,0.304093567251462,0,0,0,1,0,0,0,0,0,0
2016,0.29779837775202783,0,0,0,1,0,0,0,0,0,0
2016,0.3051044083526682,0,0,0,1,0,0,0,0,0,0
2016,0.31002331002331,0,0,0,1,0,0,0,0,0,0
2016,0.29398148148148145,0,0,0,1,0,0,0,0,0,0
2016,0.3090277777777778,0,0,0,1,0,0,0,0,0,0
2016,0.3154205607476636,0,0,0,1,0,0,0,0,0,0
2016,0.2929061784897025,0,0,0,1,0,0,0,0,0,0
2016,0.30994152046783624,0,0,0,1,0,0,0,0,0,0
2016,0.31934731934731936,0,0,0,1,0,0,0,0,0,0
2016,0.2910958904109589,0,0,0,1,0,0,0,0,0,0
2016,0.30859835100117783,0,0,0,1,0,0,0,0,0,0
2016,0.3054245283018868,0,0,0,1,0,0,0,0,0,0
2016,0.2927669345579793,0,0,0,1,0,0,0,0,0,0
2016,0.30859835100117783,0,0,0,1,0,0,0,0,0,0
2016,0.3071512309495897,0,0,0,1,0,0,0,0,0,0
2016,0.2895040369088812,0,0,0,1,0,0,0,0,0,0
2016,0.3102232667450059,0,0,0,1,0,0,0,0,0,0
2016,0.30966239813736895,0,0,0,1,0,0,0,0,0,0
2016,0.2860438292964245,0,0,0,1,0,0,0,0,0,0
2016,0.3133802816901409,0,0,0,1,0,0,0,0,0,0
2016,0.30662020905923343,0,0,0,1,0,0,0,0,0,0
2016,0.286536248561565,0,0,0,1,0,0,0,0,0,0
2016,0.3140495867768595,0,0,0,1,0,0,0,0,0,0
2016,0.30384167636786963,0,0,0,1,0,0,0,0,0,0
2016,0.2901376146788991,0,0,0,1,0,0,0,0,0,0
2016,0.31448763250883394,0,0,0,1,0,0,0,0,0,0
2016,0.3008130081300813,0,0,0,1,0,0,0,0,0,0
2016,0.2920962199312715,0,0,0,1,0,0,0,0,0,0
2016,0.3137485311398355,0,0,0,1,0,0,0,0,0,0
2016,0.3072429906542056,0,0,0,1,0,0,0,0,0,0
2016,0.2876712328767123,0,0,0,1,0,0,0,0,0,0
2016,0.3132387706855792,0,0,0,1,0,0,0,0,0,0
2016,0.3083140877598152,0,0,0,1,0,0,0,0,0,0
2016,0.28587962962962965,0,0,0,1,0,0,0,0,0,0
2016,0.30932703659976385,0,0,0,1,0,0,0,0,0,0
2016,0.3080459770114943,0,0,0,1,0,0,0,0,0,0
2016,0.2812135355892649,0,0,0,1,0,0,0,0,0,0
2016,0.3177022274325909,0,0,0,1,0,0,0,0,0,0
2016,0.30549199084668194,0,0,0,1,0,0,0,0,0,0
2016,0.28935185185185186,0,0,0,1,0,0,0,0,0,0
2016,0.31103286384976525,0,0,0,1,0,0,0,0,0,0
2016,0.3033067274800456,0,0,0,1,0,0,0,0,0,0
2016,0.2923433874709977,0,0,0,1,0,0,0,0,0,0
2016,0.3123543123543124,0,0,0,1,0,0,0,0,0,0
2016,0.3103057757644394,0,0,0,1,0,0,0,0,0,0
2016,0.2897196261682243,0,0,0,1,0,0,0,0,0,0
2016,0.313588850174216,0,0,0,1,0,0,0,0,0,0
2016,0.3111612175873732,0,0,0,1,0,0,0,0,0,0
2016,0.28773584905660377,0,0,0,1,0,0,0,0,0,0
2016,0.31402085747392816,0,0,0,1,0,0,0,0,0,0
2016,0.3114382785956965,0,0,0,1,0,0,0,0,0,0
2016,0.2937062937062937,0,0,0,1,0,0,0,0,0,0
2016,0.3051643192488263,0,0,0,1,0,0,0,0,0,0
2016,0.3020594965675057,0,0,0,1,0,0,0,0,0,0
2016,0.2938443670150987,0,0,0,1,0,0,0,0,0,0
2016,0.3047058823529412,0,0,0,1,0,0,0,0,0,0
2016,0.30662020905923343,0,0,0,1,0,0,0,0,0,0
2016,0.2906976744186047,0,0,0,1,0,0,0,0,0,0
2016,0.30562060889929743,0,0,0,1,0,0,0,0,0,0
2016,0.30927835051546393,0,0,0,1,0,0,0,0,0,0
2016,0.28857479387514723,0,0,0,1,0,0,0,0,0,0
2016,0.3028169014084507,0,0,0,1,0,0,0,0,0,0
2016,0.30444697833523376,0,0,0,1,0,0,0,0,0,0
2016,0.2954808806488992,0,0,0,1,0,0,0,0,0,0
2016,0.2970059880239521,0,0,0,1,0,0,0,0,0,0
2016,0.2890716803760282,1,0,0,0,0,0,0,0,0,0
2016,0.28488372093023256,1,0,0,0,0,0,0,0,0,0
2016,0.3145809414466131,1,0,0,0,0,0,0,0,0,0
2016,0.2930832356389215,1,0,0,0,0,0,0,0,0,0
