G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,HOLD,BF,PA,AB,HIT,H2,H3,HR,BB,IB,HP,KK,R,ER,P_WHIP_RT,INN2,WLS,SB,CS,SH,SF,GD,WP,BK,ERR
20200721WOOB0,20200721,OB,WO,0,B,0.0,0.0,143.0,36.0,35.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,0.6,27.0,W,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20200721WOOB0,20200721,WO,OB,0,T,0.0,0.0,121.0,32.0,31.0,7.0,2.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,12.0,24.0,L,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20200721LTSK0,20200721,SK,LT,0,B,0.0,0.0,161.0,40.0,35.0,10.0,1.0,0.0,1.0,5.0,0.0,0.0,4.0,7.0,7.0,3.6,27.0,W,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20200721LTSK0,20200721,LT,SK,0,T,0.0,2.0,166.0,40.0,34.0,13.0,1.0,0.0,3.0,4.0,0.0,0.0,6.0,8.0,8.0,1.8,25.0,L,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
20200721SSNC0,20200721,NC,SS,0,B,0.0,3.0,182.0,41.0,36.0,9.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,5.0,5.0,1.0,30.0,W,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
20200721SSNC0,20200721,SS,NC,0,T,0.0,0.0,162.0,42.0,38.0,13.0,3.0,0.0,3.0,2.0,1.0,1.0,7.0,6.0,6.0,2.4,28.0,L,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
20200721LGKT0,20200721,KT,LG,0,B,0.0,1.0,168.0,44.0,38.0,13.0,4.0,0.0,2.0,6.0,0.0,0.0,7.0,9.0,9.0,1.88,27.0,W,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
20200721LGKT0,20200721,LG,KT,0,T,0.0,0.0,150.0,39.0,34.0,12.0,0.0,0.0,3.0,4.0,0.0,0.0,7.0,10.0,10.0,5.25,24.0,L,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
20200721HTHH0,20200721,HH,HT,0,B,0.0,0.0,222.0,50.0,41.0,16.0,2.0,0.0,2.0,8.0,0.0,1.0,8.0,10.0,9.0,1.91,27.0,L,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
20200721HTHH0,20200721,HT,HH,0,T,0.0,0.0,133.0,32.0,29.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,7.0,2.0,2.0,0.0,27.0,W,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20200722HTHH0,20200722,HH,HT,0,B,0.0,0.0,148.0,37.0,30.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,2.0,2.0,1.0,27.0,L,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0
20200722HTHH0,20200722,HT,HH,0,T,0.0,2.0,153.0,35.0,29.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,14.0,1.0,1.0,1.5,27.0,W,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20200724LGOB0,20200724,OB,LG,0,B,0.0,0.0,170.0,46.0,40.0,15.0,2.0,1.0,2.0,5.0,1.0,1.0,3.0,8.0,8.0,1.67,27.0,L,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20200724LGOB0,20200724,LG,OB,0,T,0.0,0.0,134.0,35.0,31.0,8.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,1.5,27.0,W,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
20200724LTWO0,20200724,WO,LT,0,B,0.0,0.0,176.0,40.0,33.0,9.0,1.0,0.0,0.0,6.0,0.0,0.0,8.0,4.0,4.0,1.67,27.0,L,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0
20200724LTWO0,20200724,LT,WO,0,T,0.0,3.0,142.0,34.0,31.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,12.0,2.0,2.0,0.6,27.0,W,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
20200724NCKT0,20200724,KT,NC,0,B,0.0,0.0,152.0,37.0,32.0,7.0,2.0,0.0,1.0,3.0,0.0,0.0,11.0,3.0,3.0,2.0,27.0,L,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
